Pore Diameter,Cum PV,Cum SA,dV/dlogD,dSA/dlogD,P/P0,Fitted V,Measured V
0.9130,7.3106e-03,6.1923e+01,5.7897e-02,3.6261e+02,0.000158489,4.283,4.464
0.9580,8.5508e-03,6.9666e+01,6.4629e-02,3.9189e+02,0.000199526,4.793,4.72
1.0030,1.0167e-02,7.9162e+01,9.9929e-02,5.6688e+02,0.000251189,5.335,5.043
1.0480,1.2300e-02,9.1078e+01,1.3414e-01,7.2861e+02,0.000316228,5.983,5.45
1.0930,1.5025e-02,1.0565e+02,1.6992e-01,8.8850e+02,0.000398107,6.694,5.962
1.1460,1.8788e-02,1.2507e+02,1.9973e-01,1.0126e+03,0.000501187,7.524,6.607
1.1980,2.2886e-02,1.4565e+02,2.0807e-01,1.0262e+03,0.000630957,8.646,7.434
1.2510,2.6762e-02,1.6453e+02,1.8919e-01,9.0631e+02,0.000794328,9.981,8.663
1.3030,2.9943e-02,1.7956e+02,1.5311e-01,7.1250e+02,0.001,11.4,10.21
1.3630,3.2599e-02,1.9173e+02,1.0697e-01,4.8388e+02,0.00125892,13.17,13.17
1.4240,3.4271e-02,1.9918e+02,6.2948e-02,2.7649e+02,0.00158489,15.16,17.07
1.4840,3.5093e-02,2.0272e+02,3.1230e-02,1.3298e+02,0.00199526,17.83,19.53
1.5510,3.5489e-02,2.0437e+02,1.2331e-02,5.1060e+01,0.00251189,19.62,21.41
1.6190,3.5599e-02,2.0481e+02,2.6250e-03,1.0613e+01,0.00316228,21.47,22.57
1.6860,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.00398107,22.78,23.49
1.7960,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.00501187,23.88,24.64
1.8710,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.00630957,24.86,25.49
1.9460,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.00794328,25.79,26.35
2.0210,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.01,26.71,27.16
2.0960,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0112202,27.19,27.44
2.1720,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0125893,27.69,27.76
2.2470,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0141254,28.15,28.11
2.3220,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0158489,28.6,28.51
2.3970,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0177828,29.04,28.96
2.5100,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0199526,29.49,29.46
2.6220,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0223872,29.93,30.02
2.7350,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0246431,30.3,30.54
2.8480,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0260599,30.53,30.77
2.9600,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0274766,30.74,30.96
3.0730,3.5599e-02,2.0481e+02,0.0000e+00,0.0000e+00,0.0288934,30.94,31.16
