Relative Pressure,Absolute Pressure,Adsorbed Amount,Elapsed Time,Saturation Pressure,BJH-A-CuPV_(Pore Width),BJH-A-CuPV_(Pore Volume),BJH-A-PoSD_(Pore Width),BJH-A-PoSD_(dV/dlog(D)PV),BJH-D-CuPV_(Pore Width),BJH-D-CuPV_(Pore Volume),BJH-D-PoSD_(Pore Width),BJH-D-PoSD_(dV/dlog(D)PV)
0.000315847,0.2421089,3.85198,5:22,843.1912907,83.05539,0.2814394,98.37168,0.07658838,63.78482,0.010038259,73.45338,0.000441
0.002641986,2.0224809,7.17398,7:24,842.0671204,42.34868,0.250096,50.38066,0.2044823,48.25645,0.01872244,53.8098,0.000812372
0.006710835,5.1320203,9.6558,9:18,841.2101621,29.43622,0.1974709,33.53031,0.1795783,42.31568,0.02424565,44.87648,0.001272095
0.008346043,6.3553215,10.40721,16:13,837.6248903,23.16611,0.1657062,25.52033,0.139832,32.23858,0.04629625,35.85956,0.004502168
0.010694575,8.142343,11.28347,16:20,837.4879271,18.88821,0.1494812,20.56835,0.1300981,25.5002,0.08677163,28.03988,0.006697581
0.027756126,21.1307723,15.56104,16:30,837.4313288,15.92041,0.137621,17.13558,0.1286846,19.76645,0.1196085,21.86338,0.005274269
0.045326134,34.5060463,18.41422,16:34,837.4120601,13.71095,0.1280939,14.6399,0.1330659,15.75574,0.1373702,17.27517,0.004762043
0.064199332,48.8741044,20.67593,16:39,837.4154844,12.00441,0.1197119,12.73646,0.1447787,13.56982,0.1471877,14.48513,0.005130114
0.080254088,61.1002579,22.23122,16:44,837.4686584,10.649639,0.1117402,11.24013,0.1587993,12.75186,0.1510553,13.1329,0.005416169
0.109212716,83.1470321,24.52318,16:48,837.4641605,9.559341,0.10388928,10.041262,0.1723865,11.29513,0.1587674,11.92642,0.006284729
0.136846317,104.1759136,26.36678,16:53,837.3882935,8.643283,0.09610678,9.051702,0.1844865,10.104732,0.1661352,10.626671,0.007512373
0.164391997,125.1157853,28.01381,16:57,837.190167,7.881368,0.08830426,8.22448,0.192214,9.157192,0.1732511,9.579119,0.009065342
0.191877893,146.0225657,29.55502,17:01,837.1200068,7.222919,0.08067642,7.521217,0.1938849,8.350452,0.1805188,8.712308,0.01112078
0.219419575,166.9601637,31.03188,17:06,837.0090938,6.657002,0.07329058,6.915084,0.1903374,7.676031,0.1881264,7.981413,0.0137929
0.246898518,187.8635209,32.49103,17:10,836.9830447,6.154225,0.06640535,6.384345,0.1839673,7.082647,0.196339,7.352477,0.01702679
0.27444008,208.7976946,33.93775,17:15,836.8947576,5.712432,0.0600215,5.915602,0.1757217,6.570487,0.2051401,6.804864,0.02082047
0.301957835,229.6919207,35.39558,17:18,836.7430236,5.316311,0.05415619,5.499054,0.1656919,6.111303,0.2146056,6.322041,0.02421782
0.329461542,250.5895876,36.8819,17:22,836.6638005,4.96089,0.04880095,5.125373,0.1535809,5.70284,0.224114,5.891006,0.02641463
